decade,avg_rating,movie_count
1920,8.139999999999999,5
1930,8.283333333333333,6
1940,8.254545454545454,11
1950,8.276190476190477,21
1960,8.3375,16
1970,8.355555555555556,18
1980,8.28076923076923,26
1990,8.41025641025641,39
2000,8.314893617021276,47
2010,8.256521739130434,46
2020,8.35,14
