name,rank,year,genre,duration,rating,url,runtime_min,decade
Gone with the Wind,164,1939,"Drama, Romance, War",3h 58m,8.2,https://www.imdb.com/title/tt0031381/,238.0,1930
El secreto de sus ojos,165,2009,"Drama, Mystery, Romance",2h 9m,8.2,https://www.imdb.com/title/tt1305806/,129.0,2000
Chinatown,166,1974,"Drama, Mystery, Thriller",2h 10m,8.1,https://www.imdb.com/title/tt0071315/,130.0,1970
"Lock, Stock and Two Smoking Barrels",167,1998,"Comedy, Crime",1h 47m,8.1,https://www.imdb.com/title/tt0120735/,107.0,1990
V for Vendetta,168,2005,"Action, Drama, Sci-Fi",2h 12m,8.1,https://www.imdb.com/title/tt0434409/,132.0,2000
Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,169,2025,"Animation, Action, Adventure",2h 35m,8.5,https://www.imdb.com/title/tt32820897/,155.0,2020
Rashômon,170,1950,"Crime, Drama, Mystery",1h 28m,8.1,https://www.imdb.com/title/tt0042876/,88.0,1950
Inside Out,171,2015,"Animation, Adventure, Comedy",1h 35m,8.1,https://www.imdb.com/title/tt2096673/,95.0,2010
Catch Me If You Can,172,2002,"Biography, Crime, Drama",2h 21m,8.1,https://www.imdb.com/title/tt0264464/,141.0,2000
"Three Billboards Outside Ebbing, Missouri",173,2017,"Comedy, Crime, Drama",1h 55m,8.1,https://www.imdb.com/title/tt5027774/,115.0,2010
Trainspotting,174,1996,"Crime, Drama",1h 33m,8.1,https://www.imdb.com/title/tt0117951/,93.0,1990
The Bridge on the River Kwai,175,1957,"Adventure, Drama, War",2h 41m,8.1,https://www.imdb.com/title/tt0050212/,161.0,1950
Harry Potter and the Deathly Hallows: Part 2,176,2011,"Adventure, Family, Fantasy",2h 10m,8.1,https://www.imdb.com/title/tt1201607/,130.0,2010
Fargo,177,1996,"Crime, Drama, Thriller",1h 38m,8.1,https://www.imdb.com/title/tt0116282/,98.0,1990
Raging Bull,178,1980,"Biography, Drama, Sport",2h 9m,8.1,https://www.imdb.com/title/tt0081398/,129.0,1980
Warrior,179,2011,"Action, Drama, Sport",2h 20m,8.1,https://www.imdb.com/title/tt1291584/,140.0,2010
Dead Poets Society,180,1989,"Comedy, Drama",2h 8m,8.1,https://www.imdb.com/title/tt0097165/,128.0,1980
The Wild Robot,181,2024,"Animation, Adventure, Family",1h 42m,8.2,https://www.imdb.com/title/tt29623480/,102.0,2020
Barry Lyndon,182,1975,"Adventure, Drama, War",3h 5m,8.1,https://www.imdb.com/title/tt0072684/,185.0,1970
Million Dollar Baby,183,2004,"Drama, Sport",2h 12m,8.1,https://www.imdb.com/title/tt0405159/,132.0,2000
Ben-Hur,184,1959,"Adventure, Drama",3h 32m,8.1,https://www.imdb.com/title/tt0052618/,212.0,1950
Mad Max: Fury Road,185,2015,"Action, Adventure, Sci-Fi",2h,8.1,https://www.imdb.com/title/tt1392190/,120.0,2010
Gran Torino,186,2008,Drama,1h 56m,8.1,https://www.imdb.com/title/tt1205489/,116.0,2000
Tonari no Totoro,187,1988,"Animation, Adventure, Comedy",1h 26m,8.1,https://www.imdb.com/title/tt0096283/,86.0,1980
Bacheha-ye aseman,188,1997,"Drama, Family, Sport",1h 29m,8.2,https://www.imdb.com/title/tt0118849/,89.0,1990
Hacksaw Ridge,189,2016,"Biography, Drama, History",2h 19m,8.1,https://www.imdb.com/title/tt2119532/,139.0,2010
The Grand Budapest Hotel,190,2014,"Comedy, Drama",1h 39m,8.1,https://www.imdb.com/title/tt2278388/,99.0,2010
12 Years a Slave,191,2013,"Biography, Drama, History",2h 14m,8.1,https://www.imdb.com/title/tt2024544/,134.0,2010
Before Sunrise,192,1995,"Comedy, Drama, Romance",1h 41m,8.1,https://www.imdb.com/title/tt0112471/,101.0,1990
