name,rank,year,genre,duration,rating,url,runtime_min,decade
Avengers: Infinity War,60,2018,Adventure,2h 29m,8.4,https://www.imdb.com/title/tt4154756/,149.0,2010
Avengers: Infinity War,60,2018,Sci-Fi,2h 29m,8.4,https://www.imdb.com/title/tt4154756/,149.0,2010
Das Leben der Anderen,61,2006,Drama,2h 17m,8.4,https://www.imdb.com/title/tt0405094/,137.0,2000
Das Leben der Anderen,61,2006,Mystery,2h 17m,8.4,https://www.imdb.com/title/tt0405094/,137.0,2000
Das Leben der Anderen,61,2006,Thriller,2h 17m,8.4,https://www.imdb.com/title/tt0405094/,137.0,2000
Spider-Man: Into the Spider-Verse,62,2018,Animation,1h 57m,8.4,https://www.imdb.com/title/tt4633694/,117.0,2010
Spider-Man: Into the Spider-Verse,62,2018,Action,1h 57m,8.4,https://www.imdb.com/title/tt4633694/,117.0,2010
Spider-Man: Into the Spider-Verse,62,2018,Adventure,1h 57m,8.4,https://www.imdb.com/title/tt4633694/,117.0,2010
Sunset Blvd.,63,1950,Drama,1h 50m,8.4,https://www.imdb.com/title/tt0043014/,110.0,1950
Sunset Blvd.,63,1950,Film-Noir,1h 50m,8.4,https://www.imdb.com/title/tt0043014/,110.0,1950
Witness for the Prosecution,64,1957,Crime,1h 56m,8.4,https://www.imdb.com/title/tt0051201/,116.0,1950
Witness for the Prosecution,64,1957,Drama,1h 56m,8.4,https://www.imdb.com/title/tt0051201/,116.0,1950
Witness for the Prosecution,64,1957,Mystery,1h 56m,8.4,https://www.imdb.com/title/tt0051201/,116.0,1950
Paths of Glory,65,1957,Drama,1h 28m,8.4,https://www.imdb.com/title/tt0050825/,88.0,1950
Paths of Glory,65,1957,War,1h 28m,8.4,https://www.imdb.com/title/tt0050825/,88.0,1950
The Shining,66,1980,Drama,2h 26m,8.4,https://www.imdb.com/title/tt0081505/,146.0,1980
The Shining,66,1980,Horror,2h 26m,8.4,https://www.imdb.com/title/tt0081505/,146.0,1980
The Great Dictator,67,1940,Comedy,2h 5m,8.4,https://www.imdb.com/title/tt0032553/,125.0,1940
The Great Dictator,67,1940,Drama,2h 5m,8.4,https://www.imdb.com/title/tt0032553/,125.0,1940
The Great Dictator,67,1940,War,2h 5m,8.4,https://www.imdb.com/title/tt0032553/,125.0,1940
Inglourious Basterds,68,2009,Adventure,2h 33m,8.4,https://www.imdb.com/title/tt0361748/,153.0,2000
Inglourious Basterds,68,2009,Drama,2h 33m,8.4,https://www.imdb.com/title/tt0361748/,153.0,2000
Inglourious Basterds,68,2009,War,2h 33m,8.4,https://www.imdb.com/title/tt0361748/,153.0,2000
Aliens,69,1986,Action,2h 17m,8.4,https://www.imdb.com/title/tt0090605/,137.0,1980
Aliens,69,1986,Adventure,2h 17m,8.4,https://www.imdb.com/title/tt0090605/,137.0,1980
Aliens,69,1986,Horror,2h 17m,8.4,https://www.imdb.com/title/tt0090605/,137.0,1980
12th Fail,70,2023,Biography,2h 27m,8.7,https://www.imdb.com/title/tt23849204/,147.0,2020
12th Fail,70,2023,Drama,2h 27m,8.7,https://www.imdb.com/title/tt23849204/,147.0,2020
Tengoku to jigoku,71,1963,Crime,2h 23m,8.4,https://www.imdb.com/title/tt0057565/,143.0,1960
Tengoku to jigoku,71,1963,Drama,2h 23m,8.4,https://www.imdb.com/title/tt0057565/,143.0,1960
Tengoku to jigoku,71,1963,Mystery,2h 23m,8.4,https://www.imdb.com/title/tt0057565/,143.0,1960
The Dark Knight Rises,72,2012,Action,2h 44m,8.4,https://www.imdb.com/title/tt1345836/,164.0,2010
The Dark Knight Rises,72,2012,Crime,2h 44m,8.4,https://www.imdb.com/title/tt1345836/,164.0,2010
The Dark Knight Rises,72,2012,Drama,2h 44m,8.4,https://www.imdb.com/title/tt1345836/,164.0,2010
Coco,73,2017,Animation,1h 45m,8.4,https://www.imdb.com/title/tt2380307/,105.0,2010
Coco,73,2017,Adventure,1h 45m,8.4,https://www.imdb.com/title/tt2380307/,105.0,2010
Coco,73,2017,Drama,1h 45m,8.4,https://www.imdb.com/title/tt2380307/,105.0,2010
Avengers: Endgame,74,2019,Action,3h 1m,8.4,https://www.imdb.com/title/tt4154796/,181.0,2010
Avengers: Endgame,74,2019,Adventure,3h 1m,8.4,https://www.imdb.com/title/tt4154796/,181.0,2010
Avengers: Endgame,74,2019,Sci-Fi,3h 1m,8.4,https://www.imdb.com/title/tt4154796/,181.0,2010
Amadeus,75,1984,Biography,2h 40m,8.4,https://www.imdb.com/title/tt0086879/,160.0,1980
Amadeus,75,1984,Drama,2h 40m,8.4,https://www.imdb.com/title/tt0086879/,160.0,1980
Amadeus,75,1984,Music,2h 40m,8.4,https://www.imdb.com/title/tt0086879/,160.0,1980
Good Will Hunting,76,1997,Drama,2h 6m,8.3,https://www.imdb.com/title/tt0119217/,126.0,1990
Good Will Hunting,76,1997,Romance,2h 6m,8.3,https://www.imdb.com/title/tt0119217/,126.0,1990
Toy Story,77,1995,Animation,1h 21m,8.3,https://www.imdb.com/title/tt0114709/,81.0,1990
Toy Story,77,1995,Adventure,1h 21m,8.3,https://www.imdb.com/title/tt0114709/,81.0,1990
Toy Story,77,1995,Comedy,1h 21m,8.3,https://www.imdb.com/title/tt0114709/,81.0,1990
Kimi no Na wa.,78,2016,Animation,1h 46m,8.4,https://www.imdb.com/title/tt5311514/,106.0,2010
Kimi no Na wa.,78,2016,Drama,1h 46m,8.4,https://www.imdb.com/title/tt5311514/,106.0,2010
Kimi no Na wa.,78,2016,Fantasy,1h 46m,8.4,https://www.imdb.com/title/tt5311514/,106.0,2010
Das Boot,79,1981,Drama,2h 29m,8.4,https://www.imdb.com/title/tt0082096/,149.0,1980
Das Boot,79,1981,War,2h 29m,8.4,https://www.imdb.com/title/tt0082096/,149.0,1980
Oldeuboi,80,2003,Action,2h,8.3,https://www.imdb.com/title/tt0364569/,120.0,2000
Oldeuboi,80,2003,Drama,2h,8.3,https://www.imdb.com/title/tt0364569/,120.0,2000
Oldeuboi,80,2003,Mystery,2h,8.3,https://www.imdb.com/title/tt0364569/,120.0,2000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,81,1964,Comedy,1h 35m,8.3,https://www.imdb.com/title/tt0057012/,95.0,1960
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,81,1964,War,1h 35m,8.3,https://www.imdb.com/title/tt0057012/,95.0,1960
Braveheart,82,1995,Biography,2h 58m,8.3,https://www.imdb.com/title/tt0112573/,178.0,1990
Braveheart,82,1995,Drama,2h 58m,8.3,https://www.imdb.com/title/tt0112573/,178.0,1990
Braveheart,82,1995,War,2h 58m,8.3,https://www.imdb.com/title/tt0112573/,178.0,1990
