genre,avg_rating,movie_count
Fantasy,8.423529411764704,17
Western,8.4,6
Crime,8.358181818181817,55
Sci-Fi,8.35,20
Horror,8.35,8
Drama,8.325,184
Adventure,8.31904761904762,63
Action,8.317021276595744,47
Romance,8.304545454545455,22
Mystery,8.287878787878787,33
History,8.277777777777779,9
War,8.272,25
Animation,8.27037037037037,27
Biography,8.25925925925926,27
Family,8.253846153846153,13
Thriller,8.25,28
Comedy,8.23409090909091,44
Sport,8.116666666666665,6
