decade,corr_runtime_rating,n_movies
1920,0.2415519178799823,5
1930,-0.42851007885537884,6
1940,-0.07270952144234161,11
1950,-0.08278685134003606,21
1960,0.10471178299092203,16
1970,0.3530134312732344,18
1980,0.24048945255553802,26
1990,0.4663377461239734,39
2000,0.3992953358822622,47
2010,0.09135295281896592,46
2020,0.48836946595863,14
